ID,NAME,SMILES,NaClg/L,Temp,Concentration,IE
10378,bis(2-ehylhexyl) phosphate,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,10,323K,500ppm,93.07%
10379,Metformin hydrochloride,CN(C)C(=N)NC(=N)N,35,323K,50ppm,67.82%
10380,Metformin hydrochloride,CN(C)C(=N)NC(=N)N,35,323K,100ppm,77.32%
10381,Metformin hydrochloride,CN(C)C(=N)NC(=N)N,35,323K,150ppm,82.94%
10382,Metformin hydrochloride,CN(C)C(=N)NC(=N)N,35,323K,200ppm,86.31%
10383,pantoprazole,COc3ccnc(CS(=O)c2nc1ccc(OC(F)F)cc1[nH]2)c3OC,35,298K,25ppm,84.40%
10384,pantoprazole,COc3ccnc(CS(=O)c2nc1ccc(OC(F)F)cc1[nH]2)c3OC,35,298K,50ppm,88.80%
10385,pantoprazole,COc3ccnc(CS(=O)c2nc1ccc(OC(F)F)cc1[nH]2)c3OC,35,298K,75ppm,91.50%
10386,pantoprazole,COc3ccnc(CS(=O)c2nc1ccc(OC(F)F)cc1[nH]2)c3OC,35,298K,100ppm,92.90%
10387,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,35,298K,150ppm,72.40%
10388,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,35,298K,300ppm,84.40%
10389,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,35,298K,450ppm,89.30%
10390,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,35,298K,600ppm,90.90%
10391,Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,35,298K,900ppm,87.70%
10392,guar gum-grafted methyl methacrylate,COC(=O)C(=O)OC3C(O)C(COC1OC(CO)C(O)C(O)C1O)OC(OC2C(CO)OC(O)C(O)C2O)C3O,35,323K,100ppm,36.40%
10393,guar gum-grafted methyl methacrylate,COC(=O)C(=O)OC3C(O)C(COC1OC(CO)C(O)C(O)C1O)OC(OC2C(CO)OC(O)C(O)C2O)C3O,35,323K,200ppm,70.90%
10394,guar gum-grafted methyl methacrylate,COC(=O)C(=O)OC3C(O)C(COC1OC(CO)C(O)C(O)C1O)OC(OC2C(CO)OC(O)C(O)C2O)C3O,35,323K,300ppm,80.70%
10395,guar gum-grafted methyl methacrylate,COC(=O)C(=O)OC3C(O)C(COC1OC(CO)C(O)C(O)C1O)OC(OC2C(CO)OC(O)C(O)C2O)C3O,35,323K,400ppm,87.90%
10396,"2-(benzylthio)-5-methyl-1,3,4-thiadiazole",Cc2nnc(SCc1ccccc1)s2,62.36,333K,0.005mMol/L,96.12%
10397,"2-(benzylthio)-5-methyl-1,3,4-thiadiazole",Cc2nnc(SCc1ccccc1)s2,62.36,333K,0.01mMol/L,97.99%
10398,"2-(benzylthio)-5-methyl-1,3,4-thiadiazole",Cc2nnc(SCc1ccccc1)s2,62.36,333K,0.02mMol/L,98.22%
10399,"2-(benzylthio)-5-methyl-1,3,4-thiadiazole",Cc2nnc(SCc1ccccc1)s2,62.36,333K,0.05mMol/L,99.13%
10400,"2-(benzylthio)-5-methyl-1,3,4-thiadiazole",Cc2nnc(SCc1ccccc1)s2,62.36,333K,0.1mMol/L,99.15%
10401,"5-(benzylthio)-1,3,4-thiadiazole-2-thiol",Sc2nnc(SCc1ccccc1)s2,62.36,333K,0.005mMol/L,97.73%
10402,"5-(benzylthio)-1,3,4-thiadiazole-2-thiol",Sc2nnc(SCc1ccccc1)s2,62.36,333K,0.01mMol/L,98.43%
10403,"5-(benzylthio)-1,3,4-thiadiazole-2-thiol",Sc2nnc(SCc1ccccc1)s2,62.36,333K,0.02mMol/L,99.03%
10404,"5-(benzylthio)-1,3,4-thiadiazole-2-thiol",Sc2nnc(SCc1ccccc1)s2,62.36,333K,0.05mMol/L,99.32%
10405,"5-(benzylthio)-1,3,4-thiadiazole-2-thiol",Sc2nnc(SCc1ccccc1)s2,62.36,333K,0.1mMol/L,99.35%
10406," 2-(benzylthio)-5-(butylthio)-1,3,4-thiadiazole",CCCCSc2nnc(SCc1ccccc1)s2,62.36,333K,0.005mMol/L,97.72%
10407," 2-(benzylthio)-5-(butylthio)-1,3,4-thiadiazole",CCCCSc2nnc(SCc1ccccc1)s2,62.36,333K,0.01mMol/L,99.18%
10408," 2-(benzylthio)-5-(butylthio)-1,3,4-thiadiazole",CCCCSc2nnc(SCc1ccccc1)s2,62.36,333K,0.02mMol/L,99.32%
10409," 2-(benzylthio)-5-(butylthio)-1,3,4-thiadiazole",CCCCSc2nnc(SCc1ccccc1)s2,62.36,333K,0.05mMol/L,99.34%
10410," 2-(benzylthio)-5-(butylthio)-1,3,4-thiadiazole",CCCCSc2nnc(SCc1ccccc1)s2,62.36,333K,0.1mMol/L,99.40%
10413, 2-(2-pyridyl)benzimidazole,c3ccc(c2nc1ccccc1[nH]2)nc3,17.31,298K,1.28mMol/L,67.20%
10414, 2-(2-pyridyl)benzimidazole,c3ccc(c2nc1ccccc1[nH]2)nc3,17.31,298K,2.56mMol/L,84.40%
10415,thiobarbituric acid,O=C1CC(=O)NC(=S)N1,17.31,298K,0.035mMol/L,83.70%
10416,thiobarbituric acid,O=C1CC(=O)NC(=S)N1,17.31,298K,0.07mMol/L,92.20%
10417,thiobarbituric acid,O=C1CC(=O)NC(=S)N1,17.31,298K,0.14mMol/L,92.00%
10418,"4,6-diamino-2-(benzylthio)pyrimidine",Nc2cc(N)nc(SCc1ccccc1)n2,62.36,333K,0.1mMol/L,99.95%
10419,4-dodecyl-4-(3-hydroxypropyl)morpholin-4-ium,CCCCCCCCCCCC[N+]1(CCCO)CCOCC1,50,313K,100mg/L,71.90%
10420,4-dodecyl-4-(3-hydroxypropyl)morpholin-4-ium,CCCCCCCCCCCC[N+]1(CCCO)CCOCC1,50,313K,200mg/L,78.10%
10421,4-dodecyl-4-(3-hydroxypropyl)morpholin-4-ium,CCCCCCCCCCCC[N+]1(CCCO)CCOCC1,50,313K,300mg/L,80.46%
10422,4-dodecyl-4-(3-hydroxypropyl)morpholin-4-ium,CCCCCCCCCCCC[N+]1(CCCO)CCOCC1,50,313K,400mg/L,91.28%
10423,"4,4′-(2,2-bis(hydroxymethyl)propane-1,3-diyl)bis(4-dodecylmorpholin-4-ium)",CCCCCCCCCCCC[N+]2(CC(CO)(CO)C[N+]1(CCCCCCCCCCCC)CCOCC1)CCOCC2,50,313K,100mg/L,78.36%
10424,"4,4′-(2,2-bis(hydroxymethyl)propane-1,3-diyl)bis(4-dodecylmorpholin-4-ium)",CCCCCCCCCCCC[N+]2(CC(CO)(CO)C[N+]1(CCCCCCCCCCCC)CCOCC1)CCOCC2,50,313K,200mg/L,86.31%
10425,"4,4′-(2,2-bis(hydroxymethyl)propane-1,3-diyl)bis(4-dodecylmorpholin-4-ium)",CCCCCCCCCCCC[N+]2(CC(CO)(CO)C[N+]1(CCCCCCCCCCCC)CCOCC1)CCOCC2,50,313K,300mg/L,94.11%
10426,"4,4′-(2,2-bis(hydroxymethyl)propane-1,3-diyl)bis(4-dodecylmorpholin-4-ium)",CCCCCCCCCCCC[N+]2(CC(CO)(CO)C[N+]1(CCCCCCCCCCCC)CCOCC1)CCOCC2,50,313K,400mg/L,92.78%
10427,2-mercaptopyrimidine,S=c1nccc[nH]1,10,313K,20PPM,91.24%
10427.1,2-mercaptopyrimidine,S=c1nccc[nH]1,50,313K,20PPM,85.56%
10427.2,2-mercaptopyrimidine,S=c1nccc[nH]1,100,313K,20PPM,83.31%
10427.3,2-mercaptopyrimidine,S=c1nccc[nH]1,150,313K,20PPM,81.73%
10427.4,2-mercaptopyrimidine,S=c1nccc[nH]1,200,313K,20PPM,76.29%
10428,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?6M,64.10%
10429,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?5M,70.40%
10430,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?5M,77.60%
10431,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?4M,86.70%
10432,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?4M,91.90%
10433,"2.4.5.1. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyloctan-1-aminium iodide (5a, PGS-8)",CCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?3M,96.70%
10434,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?6M,67.40%
10435,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?5M,75.90%
10436,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?5M,82.30%
10437,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?4M,90.40%
10438,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?4M,94.80%
10439,"2.4.5.2. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldecan-1-aminium iodide (5b, PGS-10)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?3M,97.50%
10440,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?6M,70.70%
10441,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?5M,79.50%
10442,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?5M,86.00%
10443,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?4M,93.30%
10444,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,5?×?10?4M,96.60%
10445,"2.4.5.3. N-(3-((2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)penta-2,4-dienamido)propyl)-N,N-dimethyldodecan-1-aminium iodide (5c, PGS-12)",CCCCCCCCCC[N+](C)(C)CCCNC(=O)/C=C/C=C/c2ccc1OCOc1c2.[I-],35,323K,1?×?10?3M,98.90%
10446,polyethyleneimine,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,298K,25×?10?6M,55.18%
10447,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,298K,50×?10?6M,64.44%
10448,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,298K,75×?10?6M,76.17%
10449,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,298K,100×?10?6M,86.54%
10450,polyethyleneimine,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,308K,25×?10?6M,51.49%
10451,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,308K,50×?10?6M,59.23%
10452,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,308K,75×?10?6M,70.07%
10453,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,308K,100×?10?6M,81.32%
10454,polyethyleneimine,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,328K,25×?10?6M,31.71%
10455,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,328K,50×?10?6M,43.55%
10456,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,328K,75×?10?6M,61.15%
10457,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,328K,100×?10?6M,70.82%
10458,polyethyleneimine,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,348K,25×?10?6M,20.96%
10459,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,348K,50×?10?6M,35.21%
10460,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,348K,75×?10?6M,52.68%
10461,,NCCNCCN(CCNCCN(CCN)CCN)CCN(CCNCCN)CCN(CCN)CCN,35,348K,100×?10?6M,65.59%
10462,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.005 mM,96.40%
10463,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.01 mM,97.09%
10464,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.02 mM,97.96%
10465,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.05mM,99.50%
10466,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.1mM,99.91%
10467,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.2mM,99.93%
10468,,Nc2cc(N)nc(SCc1ccccc1)n2,62.36,338k,0.4 mM,99.95%
10469,SR16,CNNc2nnc(NNC(=O)NC1CCC(NC(C)=O)CC1)s2,0,298K,10 PPM,62.20%
10470,,CNNc2nnc(NNC(=O)NC1CCC(NC(C)=O)CC1)s2,0,298K,25PPM,68.26%
10471,,CNNc2nnc(NNC(=O)NC1CCC(NC(C)=O)CC1)s2,0,298K,50PPM,81.29%
10472,,CNNc2nnc(NNC(=O)NC1CCC(NC(C)=O)CC1)s2,0,298K,100PPM,88.07%
10473,,CNNc2nnc(NNC(=O)NC1CCC(NC(C)=O)CC1)s2,0,298K,150PPM,92.12%
10474,SR17,NNc2nnc(NNC(=O)Nc1ccc(NC(=O)O)cc1)s2,0,298K,10 PPM,65.17%
10475,,NNc2nnc(NNC(=O)Nc1ccc(NC(=O)O)cc1)s2,0,298K,25PPM,71.53%
10476,,NNc2nnc(NNC(=O)Nc1ccc(NC(=O)O)cc1)s2,0,298K,50PPM,85.16%
10477,,NNc2nnc(NNC(=O)Nc1ccc(NC(=O)O)cc1)s2,0,298K,100PPM,92.27%
10478,,NNc2nnc(NNC(=O)Nc1ccc(NC(=O)O)cc1)s2,0,298K,150PPM,96.52%
10479,10.1016/j.ijbiomac.2019.12.106,COC3OC(CO)C(COCC1OC(CO)C(OC)C(O)C1/N=C/c2ccccc2O)C(O)C3N,35,345K,30 PPM,72.30%
10480,10.1016/j.ijbiomac.2019.12.106,COC3OC(CO)C(COCC1OC(CO)C(OC)C(O)C1/N=C/c2ccccc2O)C(O)C3N,35,345K,60 PPM,87.60%
10481,10.1016/j.ijbiomac.2019.12.106,COC3OC(CO)C(COCC1OC(CO)C(OC)C(O)C1/N=C/c2ccccc2O)C(O)C3N,35,345K,90 PPM,93.10%
10482,10.1016/j.ijbiomac.2019.12.106,COC3OC(CO)C(COCC1OC(CO)C(OC)C(O)C1/N=C/c2ccccc2O)C(O)C3N,35,345K,120 PPM ,93.80%
10483,10.1016/j.ijbiomac.2019.12.106,COC3OC(CO)C(COCC1OC(CO)C(OC)C(O)C1/N=C/c2ccccc2O)C(O)C3N,35,345K,150 PPM,95.20%
10484,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,0.5 PPM ,57.30%
10485,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,1 PPM ,64.20%
10486,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,5 PPM ,73.60%
10487,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,10 PPM ,80.70%
10488,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,20 PPM ,84.10%
10489,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,50 PPM ,88.50%
10490,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,100 PPM ,93.20%
10491,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,0.5 PPM ,52.30%
10492,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,1 PPM ,59.50%
10493,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,5 PPM ,68.00%
10494,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,10 PPM ,74.40%
10495,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,20 PPM ,78.10%
10496,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,50 PPM ,86.90%
10497,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,100 PPM ,93.40%
10498,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,0.5 PPM ,52.10%
10499,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,1 PPM ,58.50%
10500,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,5 PPM ,68.20%
10501,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,10 PPM ,74.40%
10502,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,20 PPM ,80.10%
10503,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,50 PPM ,88.10%
10504,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,100 PPM ,94.20%
10505,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,0.5 PPM ,62.00%
10506,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,1 PPM ,68.90%
10507,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,5 PPM ,82.20%
10508,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,10 PPM ,89.60%
10509,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,20 PPM ,95.30%
10510,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,50 PPM ,95.80%
10511,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,303K,100 PPM ,97.70%
10512,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,0.5 PPM ,58.70%
10513,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,1 PPM ,66.90%
10514,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,5 PPM ,80.00%
10515,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,10 PPM ,88.10%
10516,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,20 PPM ,95.10%
10517,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,50 PPM ,95.70%
10518,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,313K,100 PPM ,97.70%
10519,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,0.5 PPM ,58.20%
10520,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,1 PPM ,65.30%
10521,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,5 PPM ,79.50%
10522,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,10 PPM ,89.60%
10523,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,20 PPM ,95.10%
10524,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,50 PPM ,95.20%
10525,2-[2-methyl-4(or 5)-alkylisoxazolidin-5(or 4)-yl)methyl]succinic acids,CCCCCCCCCC1CN(C)OC1CC(CCC(=O)O)CC(=O)O,29.25,323K,100 PPM ,97.80%
10532,imidazoline phosphate quaternary ammonium salt ,CCCCCCCCCCCC(=O)NCCN(CCN)CC(O)COP(=O)(O)[O-],20,293 K,50  PPM ,35.10%
